day,year,mo,da,pickup_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_TRIPS
3,2014,7,30,30/07/2014,70.8,51.2,1015.8,10,2.8,6,999.9,80.1,63,0,999.9,0,441490
7,2014,7,6,06/07/2014,76,52.5,1017.4,10,4.1,8.9,17.1,84,63,0,999.9,0,313544
6,2014,7,5,05/07/2014,71.4,49.1,1018.5,10,6.7,9.9,19,81,63,0.14,999.9,0,308304
1,2014,7,7,07/07/2014,79.8,61.8,1010.7,9.6,4.8,8.9,15.9,90,66,0,999.9,0,378451
5,2014,7,25,25/07/2014,73.7,53.4,1014.7,10,3.5,8,999.9,82,66,0,999.9,0,461493
6,2014,7,26,26/07/2014,73.9,59.9,1015.1,10,3.6,6,15,82,66,0,999.9,0,448388
1,2014,7,14,14/07/2014,75.7,70.8,1011.4,7.2,3,5.1,999.9,82.9,69.8,0.03,999.9,0,416403
2,2014,7,1,01/07/2014,79.1,66.8,1012.6,10,3.9,7,14,89.1,69.1,0,999.9,0,445743
7,2014,7,27,27/07/2014,77,67,1008.6,9.1,2.9,7,999.9,84.9,69.1,0.01,999.9,0,403948
1,2014,7,28,28/07/2014,75.8,65.3,1001.6,9,4.6,9.9,25.1,84.9,69.1,0.2,999.9,0,368733
2,2014,7,8,08/07/2014,81.4,66.6,1008.3,8.1,4.1,7,20,91,71.1,0.43,999.9,0,434856
3,2014,7,23,23/07/2014,79.7,66.9,1013.7,9.8,4.8,7,15.9,88,71.1,0,999.9,0,466725
6,2014,7,12,12/07/2014,76.2,60.5,1022.6,9.8,2.1,8.9,17.1,86,71.1,0,999.9,0,447090
4,2014,7,10,10/07/2014,75.4,62.1,1017.2,9.6,2.9,7,18.1,88,71.1,0.09,999.9,0,456003
4,2014,7,24,24/07/2014,75.1,63.6,1010.3,8.7,4.4,8,22,79,71.6,0.19,999.9,0,461698
5,2014,7,4,04/07/2014,70.4,65.9,1014.4,6.2,3.7,8.9,19,87.1,64.9,1.74,999.9,1,309652
4,2014,7,17,17/07/2014,73.6,54.8,1013.9,10,3.5,7,999.9,81,66.9,0,999.9,0,457123
2,2014,7,22,22/07/2014,77,63.5,1020.5,9.9,2.3,6,999.9,86,66.9,0,999.9,0,447126
7,2014,7,20,20/07/2014,71.9,58.5,1020,10,5.4,8,999.9,78.1,66.2,0,999.9,0,398703
7,2014,8,24,24/08/2014,70.7,58.4,1020.1,10,2.9,8,999.9,80.1,64,0.01,999.9,0,364236
1,2014,8,25,25/08/2014,74.3,57.8,1020.9,10,1.9,8,999.9,88,64,0,999.9,0,357998
2,2014,8,26,26/08/2014,77.7,61.6,1020.1,9.5,2,5.1,999.9,89.1,64,0,999.9,0,389266
3,2014,8,13,13/08/2014,72.5,66.3,1006.6,7.5,4.9,9.9,21,82,68,0.7,999.9,0,434391
4,2014,8,28,28/08/2014,76.4,56.2,1012.1,10,4.9,8.9,18.1,90,68,0,999.9,0,414649
1,2014,8,11,11/08/2014,77.5,56.2,1019.9,10,2.7,7,999.9,88,68,0,999.9,0,377494
5,2014,8,1,01/08/2014,75.5,65.2,1021.6,7.8,3.3,7,14,84,68,0,999.9,0,453428
5,2014,8,15,15/08/2014,68,48.8,1013,10,4.8,9.9,17.1,73.9,61,0,999.9,0,444148
6,2014,8,30,30/08/2014,71.4,56.4,1023.9,10,2.5,7,999.9,80.1,61,0,999.9,0,376328
6,2014,8,16,16/08/2014,70.3,50.5,1015,10,3.4,8.9,15.9,78.1,61,0,999.9,0,419353
5,2014,8,29,29/08/2014,69.6,48.9,1020.4,10,2.8,7,17.1,82,61,0,999.9,0,410496
6,2014,8,2,02/08/2014,70.4,61.8,1021.3,8,4.7,12,21,84,63,0.36,999.9,0,440096
3,2014,8,20,20/08/2014,75.1,60.5,1014.8,10,1.8,6,999.9,84,63,0,999.9,0,422389
7,2014,8,3,03/08/2014,69.5,62.3,1019.2,7.5,2.2,7,999.9,75.9,63,0.1,999.9,0,397765
7,2014,8,17,17/08/2014,73.6,54.5,1011.4,10,3.4,7,999.9,82,63,0,999.9,0,380140
1,2014,8,18,18/08/2014,72,52.3,1011.7,10,3.7,8.9,999.9,82,63,0.01,999.9,0,376662
4,2014,8,14,14/08/2014,70.9,52.5,1010,10,4.3,8,17.1,82,63,0.02,999.9,0,439289
2,2014,8,19,19/08/2014,72.2,56.5,1012.1,9.8,3.6,6,999.9,82.9,63,0,999.9,0,405997
1,2014,8,4,04/08/2014,75,64.7,1017.5,9.4,2.9,7,999.9,84,66,0.02,999.9,0,392871
4,2014,8,7,07/08/2014,74.4,52.5,1013.1,10,3.6,8.9,19,82.9,66,0,999.9,0,446629
7,2014,8,10,10/08/2014,77.5,56.1,1019.5,10,2.3,6,999.9,88,66,0,999.9,0,372124
4,2014,8,21,21/08/2014,73.9,60.3,1017,9.7,2.8,8,14,84,66,0.04,999.9,0,441620
3,2014,8,6,06/08/2014,76.3,60.3,1011.8,9.8,3.1,11.1,20,82.9,70,0,999.9,0,439508
3,2014,8,27,27/08/2014,78.5,60.9,1015.8,9.9,2.3,7,999.9,90,70,0,999.9,0,415610
2,2014,8,5,05/08/2014,78.6,61.8,1015.9,10,1.4,5.1,999.9,89.1,70,0,999.9,0,422243
2,2014,8,12,12/08/2014,74.4,64.9,1017.3,9.5,4.3,8.9,21,78.1,71.6,0,999.9,0,413297
7,2014,8,31,31/08/2014,77,66.9,1018.5,8.5,3,8,26,90,64.9,0,999.9,1,352389
5,2014,8,8,08/08/2014,73.2,51.2,1017.3,10,2.7,6,999.9,82.9,64.9,0,999.9,0,445799
6,2014,8,23,23/08/2014,70.4,58.2,1018.4,10,5,11.1,15,79,64.9,0.06,999.9,0,402490
5,2014,8,22,22/08/2014,70.6,62.7,1016.8,8.1,3.5,8.9,999.9,82.9,64.9,0.37,999.9,0,419858
6,2014,8,9,09/08/2014,76,52.8,1018.7,10,2.5,6,999.9,87.1,64.9,0,999.9,0,420314
2,2014,9,23,23/09/2014,60.1,40.1,1024.6,10,2.7,7,14,71.1,52,0,999.9,0,401123
3,2014,9,24,24/09/2014,64.1,52.3,1032.4,10,3.8,8,15.9,71.1,52,0,999.9,0,416770
6,2014,9,20,20/09/2014,65,52.7,1025.1,9.9,3.2,8,18.1,75,54,0,999.9,0,492576
5,2014,9,19,19/09/2014,61.6,44.5,1024.4,10,6.6,12,18.1,75.9,54,0,999.9,0,488834
1,2014,9,29,29/09/2014,72.4,57.9,1014.7,9.9,1.2,6,999.9,84,64,0,999.9,0,400318
3,2014,9,3,03/09/2014,79.4,59.5,1013.9,10,4.6,12,21,91.9,72,0,999.9,0,441040
6,2014,9,6,06/09/2014,80.9,70.9,1013.6,8.4,3.8,8,999.9,91,72,0,999.9,0,503100
